School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2019-20,School Type [Public School] 2019-20,Charter School [Public School] 2019-20,Magnet School [Public School] 2019-20,Shared Time School [Public School] 2019-20,Urban-centric Locale [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2019-20,Full-Time Equivalent (FTE) Teachers [Public School] 2019-20,Pupil/Teacher Ratio [Public School] 2019-20,Lowest Grade Offered [Public School] 2019-20,Highest Grade Offered [Public School] 2019-20,School Level (SY 2017-18 onward) [Public School] 2019-20
FRANKLIN VIRTUAL INSTRUCTION PROGRAM,Florida,FL ,1.20057E+11,FRANKLIN,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,14,0.00,†,Kindergarten,12th Grade,Other
FRANKLIN WEST ELEMENTARY,Arizona,AZ ,040497000118,Mesa Unified District (4235),1-Regular school,2-No,–,2-No,11-City: Large,517,23.6,21.91,Prekindergarten,6th Grade,Elementary
FRANKLIN WOODS INTERMEDIATE SCHOOL,Ohio,OH ,3.90448E+11,South-Western City,1-Regular school,2-No,–,2-No,11-City: Large,715,34.56,20.69,5th Grade,6th Grade,Middle
FRANKLIN-ESSEX-HAMILTON BOCES,New York,NY ,3.68034E+11,FRANKLIN-ESSEX-HAMILTON BOCES,2-Special education school,2-No,2-No,2-No,33-Town: Remote,39,36.95,1.06,8th Grade,12th Grade,High
FRANKLIN-JEFFERSON SPED-INT-K-12,ILLINOIS,IL ,1.70005E+11,Franklin-Jefferson Co Sp Ed Dist,2-Special education school,2-No,2-No,2-No,32-Town: Distant,10,–,†,2nd Grade,6th Grade,Elementary
FRANKLIN-SIMPSON HIGH SCHOOL,Kentucky,KY ,2.1054E+11,Simpson County,1-Regular school,2-No,2-No,2-No,32-Town: Distant,783,56.4,13.88,9th Grade,12th Grade,High
FRANKLIN-SIMPSON HIGH SCHOOL WEST CAMPUS,Kentucky,KY ,2.1054E+11,Simpson County,4-Alternative/other school,2-No,2-No,2-No,32-Town: Distant,93,3,31,6th Grade,12th Grade,High
FRANKLIN-SIMPSON MIDDLE SCHOOL,Kentucky,KY ,2.1054E+11,Simpson County,1-Regular school,2-No,2-No,2-No,32-Town: Distant,731,38.5,18.99,6th Grade,8th Grade,Middle
FRANKLINTON ELEMENTARY,North Carolina,NC ,3.70153E+11,Franklin County Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,459,30.5,15.05,Prekindergarten,5th Grade,Elementary
FRANKLINTON ELEMENTARY SCHOOL,Louisiana,LA ,2.20186E+11,Washington Parish,1-Regular school,2-No,2-No,–,41-Rural: Fringe,429,22,19.5,4th Grade,6th Grade,Middle
FRANKLINTON HIGH,North Carolina,NC ,3.70153E+11,Franklin County Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,1113,60.61,18.36,9th Grade,12th Grade,High
FRANKLINTON HIGH SCHOOL,Louisiana,LA ,2.20186E+11,Washington Parish,1-Regular school,2-No,2-No,–,41-Rural: Fringe,795,44.45,17.89,8th Grade,12th Grade,High
FRANKLINTON JUNIOR HIGH SCHOOL,Louisiana,LA ,2.20186E+11,Washington Parish,1-Regular school,2-No,2-No,–,32-Town: Distant,374,21.13,17.7,7th Grade,8th Grade,Middle
FRANKLINTON MIDDLE,North Carolina,NC ,3.70153E+11,Franklin County Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,236,18.36,12.85,6th Grade,8th Grade,Middle
FRANKLINTON PREPARATORY ACADEMY,Ohio,OH ,3.90153E+11,Franklinton Preparatory Academy,1-Regular school,1-Yes,–,2-No,11-City: Large,189,8.93,21.16,9th Grade,12th Grade,High
FRANKLINTON PRIMARY SCHOOL,Louisiana,LA ,2.20186E+11,Washington Parish,1-Regular school,2-No,2-No,–,32-Town: Distant,641,41.05,15.62,Prekindergarten,3rd Grade,Elementary
FRANKLINVILLE ELEMENTARY,North Carolina,NC ,3.70378E+11,Randolph County School System,1-Regular school,2-No,2-No,2-No,32-Town: Distant,310,23,13.48,Kindergarten,5th Grade,Elementary
FRANKLINVILLE ELEMENTARY SCHOOL,New York,NY ,3.61149E+11,FRANKLINVILLE CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,355,37,9.59,Prekindergarten,6th Grade,Elementary
FRANKLINVILLE JUNIOR-SENIOR HIGH SCHOOL,New York,NY ,3.61149E+11,FRANKLINVILLE CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,280,32,8.75,7th Grade,12th Grade,High
FRANKLYN S BARRY PRIMARY SCHOOL,New York,NY ,3.60846E+11,CORTLAND CITY SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,32-Town: Distant,453,31,14.61,Kindergarten,2nd Grade,Elementary
FRANKSTON EL,Texas,TX ,4.81977E+11,FRANKSTON ISD,1-Regular school,2-No,2-No,–,42-Rural: Distant,382,27.88,13.7,Prekindergarten,5th Grade,Elementary
FRANKSTON H S,Texas,TX ,4.81977E+11,FRANKSTON ISD,1-Regular school,2-No,2-No,–,42-Rural: Distant,228,21.75,10.48,9th Grade,12th Grade,High
FRANKSTON MIDDLE,Texas,TX ,4.81977E+11,FRANKSTON ISD,1-Regular school,2-No,2-No,–,42-Rural: Distant,176,14.13,12.46,6th Grade,8th Grade,Middle
FRANKSTOWN EL SCH,Pennsylvania,PA ,4.21194E+11,Hollidaysburg Area SD,1-Regular school,2-No,2-No,2-No,23-Suburb: Small,649,42.6,15.23,Kindergarten,6th Grade,Elementary
FRANKTON ELEMENTARY SCHOOL,Indiana,IN ,1.81288E+11,Frankton-Lapel Community Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,875,38,23.03,Prekindergarten,6th Grade,Elementary
FRANKTON JR-SR HIGH SCHOOL,Indiana,IN ,1.81288E+11,Frankton-Lapel Community Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,778,41.21,18.88,7th Grade,12th Grade,High
FRANKTOWN ELEMENTARY SCHOOL,Colorado,CO ,080345003172,Douglas County School District No. Re 1,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,364,22.2,16.4,Prekindergarten,5th Grade,Elementary
FRANTZ COE ELEMENTARY SCHOOL,Washington,WA ,5.30771E+11,Seattle School District No. 1,1-Regular school,2-No,2-No,–,11-City: Large,553,30.29,18.26,Kindergarten,5th Grade,Elementary
FRANZ EL,Texas,TX ,4.82517E+11,KATY ISD,1-Regular school,2-No,2-No,–,21-Suburb: Large,978,78.75,12.42,Prekindergarten,5th Grade,Elementary
FRASCH ELEMENTARY SCHOOL,Louisiana,LA ,2.20033E+11,Calcasieu Parish,1-Regular school,2-No,2-No,–,22-Suburb: Mid-size,575,37,15.54,Prekindergarten,5th Grade,Elementary
FRASER HIGH SCHOOL,Michigan,MI ,2.61482E+11,Fraser Public Schools,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1507,76.16,19.79,9th Grade,12th Grade,High
FRASER VALLEY ELEMENTARY SCHOOL,Colorado,CO ,080432000594,East Grand School District No. 2,1-Regular school,2-No,2-No,2-No,32-Town: Distant,267,23,11.61,Prekindergarten,5th Grade,Elementary
FRATNEY ELEMENTARY,Wisconsin,WI ,5.5096E+11,Milwaukee School District,1-Regular school,2-No,2-No,2-No,11-City: Large,467,29.3,15.94,Prekindergarten,5th Grade,Elementary
FRATT ELEMENTARY,Wisconsin,WI ,5.51236E+11,Racine Unified School District,1-Regular school,2-No,2-No,2-No,13-City: Small,426,34.3,12.42,Prekindergarten,5th Grade,Elementary
FRAYSER ACHIEVEMENT ELEMENTARY,Tennessee,TN ,4.70015E+11,Achievement School District,1-Regular school,2-No,2-No,1-Yes,11-City: Large,273,19,14.37,Prekindergarten,5th Grade,Elementary
FRAYSER ELEMENTARY,Kentucky,KY ,2.10299E+11,Jefferson County,1-Regular school,2-No,2-No,2-No,11-City: Large,344,29,11.86,Kindergarten,5th Grade,Elementary
FRAZEE ELEMENTARY,Minnesota,MN ,2.71236E+11,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,467,36.98,12.63,Prekindergarten,6th Grade,Elementary
FRAZEE ELEMENTARY SCHOOL,Indiana,IN ,1.80351E+11,Fayette County School Corporation,1-Regular school,2-No,2-No,2-No,32-Town: Distant,273,18.33,14.89,Kindergarten,6th Grade,Elementary
FRAZEE SECONDARY,Minnesota,MN ,2.71236E+11,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,421,33.8,12.46,7th Grade,12th Grade,High
FRAZER 7-8,Montana,MT ,3.01142E+11,Frazer Elem,1-Regular school,†,†,2-No,43-Rural: Remote,23,4.65,4.95,7th Grade,8th Grade,Middle
FRAZER ELEMENTARY,Montana,MT ,3.01142E+11,Frazer Elem,1-Regular school,†,†,2-No,43-Rural: Remote,59,8.06,7.32,Prekindergarten,6th Grade,Elementary
FRAZER ELEMENTARY SCHOOL,Ohio,OH ,3.90499E+11,Plain Local,1-Regular school,2-No,–,2-No,13-City: Small,329,16.38,20.09,Kindergarten,4th Grade,Elementary
FRAZER HIGH SCHOOL,Montana,MT ,3.01146E+11,Frazer H S,1-Regular school,†,†,2-No,43-Rural: Remote,29,8.15,3.56,9th Grade,12th Grade,High
FRAZER K-8 SCHOOL,New York,NY ,3.62859E+11,SYRACUSE CITY SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,934,76,12.29,Prekindergarten,8th Grade,Elementary
FRAZEYSBURG ELEMENTARY SCHOOL,Ohio,OH ,3.90489E+11,Tri-Valley Local,1-Regular school,2-No,–,2-No,42-Rural: Distant,320,16.1,19.88,Prekindergarten,6th Grade,Elementary
FRAZIER EL,Texas,TX ,4.81611E+11,CYPRESS-FAIRBANKS ISD,1-Regular school,2-No,2-No,–,21-Suburb: Large,634,46.8,13.55,Prekindergarten,5th Grade,Elementary
FRAZIER EL,Texas,TX ,4.83432E+11,PASADENA ISD,1-Regular school,2-No,2-No,–,11-City: Large,467,36.66,12.74,Prekindergarten,4th Grade,Elementary
FRAZIER EL,Texas,TX ,4.81218E+11,BURLESON ISD,1-Regular school,2-No,2-No,–,21-Suburb: Large,581,37.02,15.69,Prekindergarten,5th Grade,Elementary
FRAZIER EL SCH,Pennsylvania,PA ,4.21035E+11,Frazier SD,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,520,33,15.76,Prekindergarten,5th Grade,Elementary
FRAZIER ELEMENTARY,Tennessee,TN ,4.70351E+11,Rhea County,1-Regular school,2-No,2-No,1-Yes,41-Rural: Fringe,322,22.7,14.19,Prekindergarten,5th Grade,Elementary
FRAZIER HS,Pennsylvania,PA ,4.21035E+11,Frazier SD,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,340,25.75,13.2,9th Grade,12th Grade,High
FRAZIER MOUNTAIN HIGH,California,CA ,060002604544,El Tejon Unified,1-Regular school,2-No,2-No,–,41-Rural: Fringe,274,–,†,9th Grade,12th Grade,High
FRAZIER MS,Pennsylvania,PA ,4.21035E+11,Frazier SD,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,251,18.25,13.75,6th Grade,8th Grade,Middle
FRAZIER PARK ELEMENTARY,California,CA ,060002609486,El Tejon Unified,1-Regular school,2-No,2-No,–,32-Town: Distant,302,–,†,Kindergarten,4th Grade,Elementary
FRAZIER PERSPECTIVES MAGNET ES,Illinois,IL ,1.70993E+11,City of Chicago SD 299,1-Regular school,2-No,1-Yes,2-No,11-City: Large,189,15,12.6,Kindergarten,8th Grade,Elementary
FRAZIER PREP ACAD CHARTER ES,Illinois,IL ,1.70993E+11,City of Chicago SD 299,1-Regular school,1-Yes,1-Yes,2-No,11-City: Large,243,–,†,Kindergarten,8th Grade,Elementary
FRED A ANDERSON ELEMENTARY,North Carolina,NC ,3.70351E+11,Pamlico County Schools,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,175,14.17,12.35,4th Grade,5th Grade,Elementary
FRED AND PATTI SHAFER EL,Texas,TX ,4.82517E+11,KATY ISD,1-Regular school,2-No,2-No,–,21-Suburb: Large,1194,80.4,14.85,Prekindergarten,5th Grade,Elementary
FRED AND SARA MACHETANZ ELEMENTARY SCHOOL,Alaska,AK ,020051000741,Matanuska-Susitna Borough School District,1-Regular school,2-No,2-No,2-No,32-Town: Distant,480,24.33,19.73,Prekindergarten,5th Grade,Elementary
FRED ASSAM ELEMENTARY - 06,South Dakota,SD ,4.60795E+11,Brandon Valley School District 49-2,1-Regular school,†,†,2-No,12-City: Mid-size,538,31.68,16.98,Kindergarten,4th Grade,Elementary
FRED BECKER ELEMENTARY SCHOOL,Iowa,IA ,1.93048E+11,Waterloo Comm School District,1-Regular school,2-No,†,2-No,13-City: Small,481,37.1,12.96,Prekindergarten,5th Grade,Elementary
FRED BOOTH,Texas,TX ,4.83879E+11,SAN BENITO CISD,1-Regular school,2-No,2-No,–,22-Suburb: Mid-size,549,31.37,17.5,Prekindergarten,5th Grade,Elementary
FRED C. BEYER HIGH,California,CA ,062515003734,Modesto City High,1-Regular school,2-No,2-No,–,12-City: Mid-size,1634,–,†,9th Grade,12th Grade,High
FRED C. UNDERHILL SCHOOL,New Hampshire,NH ,3.30387E+11,Hooksett School District,1-Regular school,2-No,2-No,2-No,22-Suburb: Mid-size,374,24.9,15.02,Prekindergarten,2nd Grade,Elementary
FRED DOUGLASS,Texas,TX ,4.82459E+11,JACKSONVILLE ISD,1-Regular school,2-No,2-No,–,41-Rural: Fringe,630,39.22,16.06,Prekindergarten,4th Grade,Elementary
FRED DOUGLASS EARLY CHILDHOOD CENTER,Texas,TX ,4.84008E+11,SHERMAN ISD,1-Regular school,2-No,2-No,–,13-City: Small,299,18.33,16.31,Prekindergarten,Prekindergarten,Prekindergarten
FRED E. WEIBEL ELEMENTARY,California,CA ,061440009139,Fremont Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,742,–,†,Kindergarten,6th Grade,Elementary
FRED EKSTRAND ELEMENTARY,California,CA ,060561000507,Bonita Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,461,–,†,Kindergarten,5th Grade,Elementary
FRED EL,Texas,TX ,4.84458E+11,WARREN ISD,1-Regular school,2-No,2-No,–,42-Rural: Distant,233,15,15.53,Prekindergarten,5th Grade,Elementary
FRED FIFER III MIDDLE SCHOOL,Delaware,DE ,1.00018E+11,Caesar Rodney School District,1-Regular school,2-No,2-No,2-No,22-Suburb: Mid-size,900,50,18,6th Grade,8th Grade,Middle
FRED G. GARNER ELEMENTARY SCHOOL,Florida,FL ,1.20159E+11,POLK,1-Regular school,2-No,2-No,2-No,13-City: Small,791,47,16.83,Prekindergarten,5th Grade,Elementary
FRED H CRONINGER ELEMENTARY SCHOOL,Indiana,IN ,1.80363E+11,Fort Wayne Community Schools,1-Regular school,2-No,1-Yes,2-No,11-City: Large,645,29,22.24,Kindergarten,5th Grade,Elementary
FRED H TALLY EL,Texas,TX ,4.82559E+11,KERRVILLE ISD,1-Regular school,2-No,2-No,–,33-Town: Remote,540,33.04,16.34,Kindergarten,5th Grade,Elementary
FRED IPALOOK ELEMENTARY,Alaska,AK ,020061000285,North Slope Borough School District,1-Regular school,2-No,2-No,2-No,33-Town: Remote,664,38,17.47,Prekindergarten,5th Grade,Elementary
FRED J HUMS ELEMENTARY SCHOOL,Indiana,IN ,1.80684E+11,School City of Mishawaka,1-Regular school,2-No,2-No,2-No,13-City: Small,358,19,18.84,Prekindergarten,6th Grade,Elementary
FRED J PAGE HIGH SCHOOL,Tennessee,TN ,4.70453E+11,Williamson County,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,1120,61,18.36,9th Grade,12th Grade,High
FRED J PAGE MIDDLE SCHOOL,Tennessee,TN ,4.70453E+11,Williamson County,1-Regular school,2-No,2-No,1-Yes,41-Rural: Fringe,1118,59.2,18.89,6th Grade,8th Grade,Middle
FRED J. JAINDL EL SCH,Pennsylvania,PA ,4.21851E+11,Parkland SD,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,657,42,15.64,Kindergarten,5th Grade,Elementary
FRED K. MARCHMAN TECHNICAL COLLEGE,Florida,FL ,1.20153E+11,PASCO,3-Vocational school,2-No,2-No,2-No,21-Suburb: Large,2,11,0.18,9th Grade,12th Grade,High
FRED L AIKEN EL SCH,Pennsylvania,PA ,4.21275E+11,Keystone Oaks SD,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,224,20.72,10.81,Kindergarten,5th Grade,Elementary
FRED L WILSON ELEMENTARY,North Carolina,NC ,3.70243E+11,Kannapolis City Schools,1-Regular school,2-No,1-Yes,2-No,22-Suburb: Mid-size,365,25.84,14.13,Kindergarten,5th Grade,Elementary
FRED L. THOMPSON JUNIOR HIGH,California,CA ,060639009328,Panama-Buena Vista Union,1-Regular school,2-No,2-No,–,11-City: Large,726,–,†,7th Grade,8th Grade,Middle
FRED L. WILLIAMS ELEMENTARY,California,CA ,061785002207,Hueneme Elementary,1-Regular school,2-No,2-No,–,12-City: Mid-size,634,–,†,Kindergarten,5th Grade,Elementary
FRED M. LYNN MIDDLE,Virginia,VA ,5.10313E+11,PRINCE WILLIAM CO PBLC SCHS,1-Regular school,2-No,1-Yes,2-No,21-Suburb: Large,1343,95.75,14.03,6th Grade,8th Grade,Middle
FRED MOODRY INTERMEDIATE,Montana,MT ,3.00201E+11,Anaconda Elem,1-Regular school,†,†,2-No,33-Town: Remote,357,21.43,16.66,3rd Grade,6th Grade,Elementary
FRED MOORE H S,Texas,TX ,4.81674E+11,DENTON ISD,4-Alternative/other school,2-No,2-No,–,12-City: Mid-size,69,7.04,9.8,9th Grade,12th Grade,High
FRED P. HAMILTON CAREER CENTER,South Carolina,SC ,4.50306E+11,Oconee 01,3-Vocational school,2-No,2-No,1-Yes,41-Rural: Fringe,0,25,0.00,9th Grade,12th Grade,High
FRED ROBERTS MIDDLE,Texas,TX ,4.83432E+11,PASADENA ISD,1-Regular school,2-No,2-No,–,11-City: Large,617,45.43,13.58,5th Grade,6th Grade,Middle
FRED RODGERS MAGNET ACAD,Illinois,IL ,1.70468E+11,Aurora East USD 131,1-Regular school,2-No,1-Yes,2-No,21-Suburb: Large,403,29.33,13.74,4th Grade,8th Grade,Middle
FRED S ENGLE MS,Pennsylvania,PA ,4.20279E+11,Avon Grove SD,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,857,58,14.78,7th Grade,8th Grade,Middle
FRED T FOARD HIGH,North Carolina,NC ,3.70069E+11,Catawba County Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,891,49.95,17.84,9th Grade,12th Grade,High
FRED T. KOREMATSU DISCOVERY ACADEMY,California,CA ,062805011977,Oakland Unified,1-Regular school,2-No,2-No,–,11-City: Large,245,–,†,Kindergarten,5th Grade,Elementary
FRED T. KOREMATSU ELEMENTARY AT MACE RANCH,California,CA ,061062011834,Davis Joint Unified,1-Regular school,2-No,1-Yes,–,23-Suburb: Small,485,–,†,Kindergarten,6th Grade,Elementary
FRED T. KOREMATSU MIDDLE,California,CA ,063255005053,West Contra Costa Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,708,–,†,7th Grade,8th Grade,Middle
FRED TJARDES SCHOOL OF INNOVATION,COLORADO,CO ,080441006719,GreeleySchool District No. 6 in the county of Weld and Sta,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,127,8.49,14.96,Kindergarten,8th Grade,Elementary
FRED W EBERLE TECH CENTER,West Virginia,WV ,5.40147E+11,UPSHUR COUNTY SCHOOLS,3-Vocational school,†,2-No,1-Yes,33-Town: Remote,0,12,0.00,9th Grade,12th Grade,High
FRED W EDWARDS ACADEMY AEC,Texas,TX ,4.84233E+11,TEMPLE ISD,4-Alternative/other school,2-No,2-No,–,13-City: Small,114,4.78,23.85,9th Grade,12th Grade,High
FRED W GRAFF SCHOOL,Montana,MT ,3.0162E+11,Laurel Elem,1-Regular school,†,†,2-No,31-Town: Fringe,316,16.37,19.3,3rd Grade,4th Grade,Elementary
FRED W HILL SCHOOL,New York,NY ,3.60558E+11,BROCKPORT CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,31-Town: Fringe,491,35.2,13.95,4th Grade,5th Grade,Elementary
FRED W RITTER ELEMENTARY SCHOOL,Michigan,MI ,2.60198E+11,Airport Community Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,262,15,17.47,Prekindergarten,4th Grade,Elementary
FRED W TRANER MIDDLE SCHOOL,Nevada,NV ,3.20048E+11,WASHOE COUNTY SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,11-City: Large,685,46,14.89,6th Grade,8th Grade,Middle
FRED WILD ELEMENTARY SCHOOL,Florida,FL ,1.20084E+11,HIGHLANDS,1-Regular school,2-No,2-No,2-No,23-Suburb: Small,460,30.5,15.08,Prekindergarten,5th Grade,Elementary
FREDA MARKLEY EARLY CHILDHOOD,Missouri,MO ,2.91434E+11,HICKMAN MILLS C-1,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,237,17,13.94,Prekindergarten,Prekindergarten,Prekindergarten
FREDDA NOTTINGHAM ALTERNATIVE EDUCATION CENTER,Texas,TX ,4.81641E+11,DAYTON ISD,4-Alternative/other school,2-No,2-No,–,32-Town: Distant,4,–,†,12th Grade,12th Grade,High
FREDDY GONZALEZ EL,Texas,TX ,4.81818E+11,EDINBURG CISD,1-Regular school,2-No,2-No,–,13-City: Small,462,28,16.5,Prekindergarten,5th Grade,Elementary
FREDERIC 6-12 SCHOOL,Wisconsin,WI ,5.50486E+11,Frederic School District,1-Regular school,2-No,2-No,2-No,43-Rural: Remote,209,18.12,11.53,6th Grade,12th Grade,High
FREDERIC A. PRIFF ELEMENTARY SCHOOL,New Jersey,NJ ,3.41209E+11,Ocean Township School District,1-Regular school,2-No,†,2-No,41-Rural: Fringe,257,22.3,11.52,3rd Grade,6th Grade,Elementary
FREDERIC ELEMENTARY,Wisconsin,WI ,5.50486E+11,Frederic School District,1-Regular school,2-No,2-No,2-No,43-Rural: Remote,231,17.21,13.42,Prekindergarten,5th Grade,Elementary
FREDERIC N. BROWN ELEMENTARY SCHOOL,New Jersey,NJ ,3.41674E+11,Verona Public School District,1-Regular school,2-No,†,2-No,21-Suburb: Large,281,24.28,11.57,Kindergarten,4th Grade,Elementary
FREDERIC REMINGTON HIGH,Kansas,KS ,2.00624E+11,Remington-Whitewater,1-Regular school,2-No,2-No,–,42-Rural: Distant,153,16.2,9.44,9th Grade,12th Grade,High
FREDERIC W. COOK ELEMENTARY SCHOOL,New Jersey,NJ ,3.41314E+11,Plainfield Public School District,1-Regular school,2-No,†,2-No,21-Suburb: Large,395,32.5,12.15,Kindergarten,5th Grade,Elementary
FREDERICK A DOUGLASS LEARNING ACADEMY,Texas,TX ,4.81437E+11,CLEVELAND ISD,4-Alternative/other school,2-No,2-No,–,31-Town: Fringe,45,6,7.5,10th Grade,12th Grade,High
FREDERICK BREWSTER SCHOOL,Connecticut,CT ,090353500740,Regional School District 13,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,283,23.6,11.99,Prekindergarten,3rd Grade,Elementary
FREDERICK C MURPHY,Massachusetts,MA ,2.51284E+11,Weymouth,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,202,17.01,11.88,Kindergarten,4th Grade,Elementary
FREDERICK CARDER ELEMENTARY SCHOOL,New York,NY ,3.6084E+11,CORNING CITY SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,31-Town: Fringe,479,34,14.09,Kindergarten,5th Grade,Elementary
FREDERICK CLASSICAL CHARTER,Maryland,MD ,2.40033E+11,Frederick County Public Schools,1-Regular school,1-Yes,2-No,2-No,41-Rural: Fringe,376,23.5,16,Kindergarten,8th Grade,Elementary
FREDERICK COUNTY CAREER & TECHNOLOGY CENTER,Maryland,MD ,2.40033E+11,Frederick County Public Schools,3-Vocational school,2-No,2-No,2-No,13-City: Small,0,32,0.00,Ungraded,Ungraded,Ungraded
FREDERICK COUNTY MIDDLE,Virginia,VA ,5.10147E+11,FREDERICK CO PBLC SCHS,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,831,57.25,14.52,6th Grade,8th Grade,Middle
FREDERICK COUNTY VIRTUAL,Maryland,MD ,2.40033E+11,Frederick County Public Schools,4-Alternative/other school,2-No,2-No,2-No,13-City: Small,0,1,0.00,Ungraded,Ungraded,Ungraded
FREDERICK DOUGLASS ACADEMY,Massachusetts,MA ,2.50309E+11,Brockton,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,15,4.96,3.02,9th Grade,12th Grade,High
FREDERICK DOUGLASS ACADEMY,New York,NY ,3.60008E+11,NEW YORK CITY GEOGRAPHIC DISTRICT # 5,1-Regular school,2-No,2-No,2-No,11-City: Large,1093,74.5,14.67,6th Grade,12th Grade,High
FREDERICK DOUGLASS ACADEMY FOR YOUNG MEN,MICHIGAN,MI ,2.6011E+11,Detroit Public Schools Community District,1-Regular school,2-No,2-No,2-No,11-City: Large,67,12,5.58,6th Grade,12th Grade,High
FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,New York,NY ,3.60008E+11,NEW YORK CITY GEOGRAPHIC DISTRICT # 3,1-Regular school,2-No,2-No,2-No,11-City: Large,323,33.28,9.71,6th Grade,12th Grade,High
FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,New York,NY ,3.60009E+11,NEW YORK CITY GEOGRAPHIC DISTRICT # 9,1-Regular school,2-No,2-No,2-No,11-City: Large,337,30.86,10.92,9th Grade,12th Grade,High
FREDERICK DOUGLASS ACADEMY V MIDDLE SCHOOL,New York,NY ,3.60009E+11,NEW YORK CITY GEOGRAPHIC DISTRICT #12,1-Regular school,2-No,2-No,2-No,11-City: Large,184,18,10.22,6th Grade,8th Grade,Middle
FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,New York,NY ,3.60012E+11,NEW YORK CITY GEOGRAPHIC DISTRICT #27,1-Regular school,2-No,2-No,2-No,11-City: Large,298,28.5,10.46,9th Grade,12th Grade,High
FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,New York,NY ,3.60012E+11,NEW YORK CITY GEOGRAPHIC DISTRICT #23,1-Regular school,2-No,2-No,2-No,11-City: Large,142,21.91,6.48,9th Grade,12th Grade,High
FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,New York,NY ,3.60012E+11,NEW YORK CITY GEOGRAPHIC DISTRICT #19,1-Regular school,2-No,2-No,2-No,11-City: Large,309,23,13.43,6th Grade,8th Grade,Middle
FREDERICK DOUGLASS EL,Texas,TX ,4.81623E+11,DALLAS ISD,1-Regular school,2-No,2-No,–,11-City: Large,476,34,14,Prekindergarten,5th Grade,Elementary
FREDERICK DOUGLASS ELEM,Virginia,VA ,5.10225E+11,LOUDOUN CO PBLC SCHS,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,726,51,14.24,Prekindergarten,5th Grade,Elementary
FREDERICK DOUGLASS ELEM,Virginia,VA ,5.10405E+11,WINCHESTER CITY PBLC SCHS,1-Regular school,2-No,2-No,2-No,13-City: Small,351,23.17,15.15,Prekindergarten,4th Grade,Elementary
FREDERICK DOUGLASS ELEMENTARY,North Carolina,NC ,3.70502E+11,Wilson County Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,407,23.58,17.26,Kindergarten,5th Grade,Elementary
FREDERICK DOUGLASS ELEMENTARY SCHOOL,Delaware,DE ,1.00153E+11,Seaford School District,1-Regular school,2-No,2-No,2-No,23-Suburb: Small,472,37,12.76,3rd Grade,5th Grade,Elementary
